"filename", "language", "SCSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-customer-dto.ts", "TypeScript", 0, 8, 0, 0, 0, 1, 9
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-delivery-information-dto.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-order-dto.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"d:\JS\light-store\src\app\modules\customers\models\dtos\customer-signup-response-dto.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"d:\JS\light-store\src\app\modules\customers\models\dtos\product-in-order-dto.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\models\dtos\update-customer-dto.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\customers\models\order-item.ts", "TypeScript", 0, 12, 0, 0, 0, 3, 15
"d:\JS\light-store\src\app\modules\customers\models\product-in-catalog.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 6
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.html", "HTML", 0, 0, 36, 0, 0, 2, 38
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.scss", "SCSS", 66, 0, 0, 0, 0, 8, 74
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.ts", "TypeScript", 0, 55, 0, 0, 0, 9, 64
"d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.html", "HTML", 0, 0, 4, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.html", "HTML", 0, 0, 6, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.ts", "TypeScript", 0, 19, 0, 0, 0, 5, 24
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.html", "HTML", 0, 0, 39, 0, 0, 1, 40
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.scss", "SCSS", 67, 0, 0, 0, 0, 8, 75
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts", "TypeScript", 0, 129, 0, 0, 0, 21, 150
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.html", "HTML", 0, 0, 47, 0, 0, 1, 48
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.scss", "SCSS", 44, 0, 0, 0, 0, 9, 53
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.ts", "TypeScript", 0, 53, 0, 0, 0, 10, 63
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.html", "HTML", 0, 0, 29, 0, 0, 1, 30
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.scss", "SCSS", 23, 0, 0, 0, 0, 6, 29
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.ts", "TypeScript", 0, 92, 0, 0, 0, 16, 108
"d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.html", "HTML", 0, 0, 47, 0, 0, 8, 55
"d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.scss", "SCSS", 4, 0, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.ts", "TypeScript", 0, 97, 0, 0, 2, 8, 107
"d:\JS\light-store\src\app\modules\customers\services\cart.service.ts", "TypeScript", 0, 94, 0, 0, 0, 13, 107
"d:\JS\light-store\src\app\modules\customers\services\customer.service.ts", "TypeScript", 0, 82, 0, 0, 0, 11, 93
"d:\JS\light-store\src\app\modules\customers\services\local-cart.service.ts", "TypeScript", 0, 17, 0, 0, 0, 6, 23
"d:\JS\light-store\src\app\modules\customers\services\order.service.ts", "TypeScript", 0, 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.html", "HTML", 0, 0, 48, 0, 0, 6, 54
"d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.ts", "TypeScript", 0, 88, 0, 0, 2, 13, 103
"d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.html", "HTML", 0, 0, 21, 0, 0, 1, 22
"d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.html", "HTML", 0, 0, 13, 0, 0, 1, 14
"d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.scss", "SCSS", 28, 0, 0, 0, 0, 6, 34
"d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.ts", "TypeScript", 0, 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.html", "HTML", 0, 0, 9, 0, 0, 1, 10
"d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.scss", "SCSS", 17, 0, 0, 0, 0, 5, 22
"d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.ts", "TypeScript", 0, 15, 0, 0, 0, 3, 18
"d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.html", "HTML", 0, 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.ts", "TypeScript", 0, 37, 0, 0, 0, 8, 45
"d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.html", "HTML", 0, 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.scss", "SCSS", 8, 0, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.html", "HTML", 0, 0, 9, 0, 0, 1, 10
"d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.scss", "SCSS", 8, 0, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.ts", "TypeScript", 0, 27, 0, 0, 0, 7, 34
"d:\JS\light-store\src\app\modules\employees\employees-routing.module.ts", "TypeScript", 0, 30, 0, 0, 0, 6, 36
"d:\JS\light-store\src\app\modules\employees\employees.module.ts", "TypeScript", 0, 51, 0, 0, 0, 4, 55
"d:\JS\light-store\src\app\modules\employees\guards\employee.guard.ts", "TypeScript", 0, 20, 0, 0, 0, 4, 24
"d:\JS\light-store\src\app\modules\employees\models\dtos\create-product-dto.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
"d:\JS\light-store\src\app\modules\employees\models\dtos\create-products-adding-dto.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 7
"d:\JS\light-store\src\app\modules\employees\models\dtos\create-products-category-dto.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\employees\models\dtos\product-in-adding-dto.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
